rank,year365,year366,13aqi,13pm2.5,13img,14aqi,14pm2.5,14img,15aqi,15pm2.5,15img,16aqi,16pm2.5,16img,17aqi,17pm2.5,17img,18aqi,18pm2.5,18img
276,10/3,10/2,20000,48,img/2013 (276).jpg,141,107.8,img/2014 (276).jpg,37,23,img/2015 (276).jpg,219,169,img/2016 (276).jpg,29,19,img/2017 (276).jpg,34,17,img/2018 (276).jpg
277,10/4,10/3,20000,95,img/2013 (277).jpg,252,202.4,img/2014 (277).jpg,82,60,img/2015 (277).jpg,201,151,img/2016 (277).jpg,52,26,img/2017 (277).jpg,38,70,img/2018 (277).jpg
278,10/5,10/4,20000,322,img/2013 (278).jpg,49,34,img/2014 (278).jpg,204,153,img/2015 (278).jpg,40,28,img/2016 (278).jpg,91,68,img/2017 (278).jpg,104,4,img/2018 (278).jpg
279,10/6,10/5,20000,260,img/2013 (279).jpg,32,21.7,img/2014 (279).jpg,319,269,img/2015 (279).jpg,79,58,img/2016 (279).jpg,90,67,img/2017 (279).jpg,16,7,img/2018 (279).jpg
280,10/7,10/6,20000,160,img/2013 (280).jpg,95,70.8,img/2014 (280).jpg,363,313,img/2015 (280).jpg,60,43,img/2016 (280).jpg,154,118,img/2017 (280).jpg,28,9,img/2018 (280).jpg
281,10/8,10/7,20000,43,img/2013 (281).jpg,360,309.5,img/2014 (281).jpg,29,4,img/2015 (281).jpg,222,156,img/2016 (281).jpg,203,153,img/2017 (281).jpg,41,5,img/2018 (281).jpg
282,10/9,10/8,20000,113,img/2013 (282).jpg,412,368.1,img/2014 (282).jpg,55,9,img/2015 (282).jpg,14,7,img/2016 (282).jpg,90,67,img/2017 (282).jpg,14,6,img/2018 (282).jpg
283,10/10,10/9,20000,207,img/2013 (283).jpg,427,390.2,img/2014 (283).jpg,14,6,img/2015 (283).jpg,53,30,img/2016 (283).jpg,12,5,img/2017 (283).jpg,23,7,img/2018 (283).jpg
284,10/11,10/10,20000,46,img/2013 (284).jpg,422,382.8,img/2014 (284).jpg,32,10,img/2015 (284).jpg,84,62,img/2016 (284).jpg,21,15,img/2017 (284).jpg,30,2,img/2018 (284).jpg
285,10/12,10/11,20000,63,img/2013 (285).jpg,18,4.2,img/2014 (285).jpg,36,12,img/2015 (285).jpg,230,180,img/2016 (285).jpg,22,7,img/2017 (285).jpg,38,81,img/2018 (285).jpg
